구,맥도날드,스타벅스,베스킨라빈스,올리브영,나이키,평균,순위
강남구,1.0,1.0,0.5,1.0,1.0,0.9,1
서초구,0.7,0.506,1.0,0.326,0.222,0.725,2
종로구,0.5,0.377,0.333,0.304,0.111,0.438,3
금천구,0.5,0.117,0.333,0.13,0.556,0.326,7
양천구,0.5,0.13,0.833,0.13,0.222,0.345,6
송파구,0.5,0.403,0.5,0.348,0.667,0.423,4
강동구,0.4,0.143,0.5,0.239,0.222,0.392,5
강서구,0.4,0.195,0.333,0.174,0.556,0.316,11
구로구,0.4,0.091,0.667,0.109,0.333,0.326,7
노원구,0.4,0.13,0.833,0.13,0.111,0.32,9
은평구,0.3,0.091,0.833,0.13,0.0,0.296,14
영등포구,0.3,0.338,0.333,0.283,0.444,0.305,12
마포구,0.3,0.338,0.333,0.304,0.222,0.32,9
동작구,0.3,0.117,0.0,0.196,0.222,0.233,19
강북구,0.3,0.039,0.667,0.043,0.222,0.211,22
서대문구,0.2,0.221,0.5,0.261,0.111,0.256,16
성북구,0.2,0.169,0.5,0.174,0.111,0.245,18
동대문구,0.2,0.078,0.333,0.087,0.333,0.219,21
도봉구,0.2,0.0,0.167,0.022,0.0,0.142,24
중구,0.2,0.532,0.0,0.348,0.778,0.225,20
성동구,0.1,0.052,0.333,0.13,0.111,0.258,15
광진구,0.1,0.208,0.833,0.174,0.444,0.249,17
관악구,0.1,0.117,0.667,0.174,0.222,0.304,13
중랑구,0.1,0.065,0.333,0.0,0.111,0.189,23
용산구,0.0,0.26,0.0,0.065,0.444,0.138,25
