구,골프연습장,당구장,수영장,평균,순위
종로구,0.148,0.33,0.0,0.16,11
중구,1.0,1.0,1.0,1.0,1
용산구,0.131,0.013,0.205,0.116,18
성동구,0.19,0.083,0.107,0.127,15
광진구,0.246,0.412,0.36,0.339,4
동대문구,0.114,0.068,0.182,0.121,17
중랑구,0.065,0.115,0.079,0.087,21
성북구,0.094,0.073,0.213,0.127,15
강북구,0.0,0.096,0.0,0.032,25
도봉구,0.124,0.164,0.144,0.144,14
노원구,0.135,0.033,0.179,0.116,18
은평구,0.09,0.105,0.259,0.151,13
서대문구,0.052,0.036,0.15,0.08,22
마포구,0.178,0.083,0.207,0.156,12
양천구,0.175,0.031,0.478,0.228,6
강서구,0.179,0.047,0.32,0.182,10
구로구,0.169,0.027,0.077,0.091,20
금천구,0.211,0.275,0.067,0.184,9
영등포구,0.411,0.444,0.081,0.312,5
동작구,0.104,0.012,0.079,0.065,24
관악구,0.086,0.0,0.126,0.07,23
서초구,0.589,0.238,0.368,0.398,3
강남구,0.911,0.106,0.288,0.435,2
송파구,0.243,0.023,0.303,0.189,8
강동구,0.259,0.171,0.165,0.198,7
