구,환경체감도,산업폐수방류량,녹지지역,미세먼지,평균,순위
종로구,0.466,0.722,0.201,0.77,0.54,2
중구,0.108,0.696,0.001,0.662,0.367,14
용산구,0.314,0.718,0.135,0.69,0.464,5
성동구,0.148,0.687,0.035,0.376,0.311,22
광진구,0.123,0.694,0.057,0.724,0.399,11
동대문구,0.024,0.726,0.002,0.387,0.285,24
중랑구,0.192,0.731,0.122,0.761,0.451,7
성북구,0.151,0.729,0.036,0.595,0.378,12
강북구,0.265,0.732,0.283,0.887,0.542,1
도봉구,0.21,0.732,0.284,0.456,0.421,8
노원구,0.293,0.729,0.397,0.651,0.517,3
은평구,0.266,0.733,0.2,0.134,0.333,20
서대문구,0.128,0.729,0.006,0.483,0.337,19
마포구,0.336,0.729,0.125,0.271,0.365,15
양천구,0.143,0.717,0.026,0.479,0.341,18
강서구,0.22,0.721,0.314,0.572,0.457,6
구로구,0.086,0.717,0.034,0.432,0.317,21
금천구,0.172,0.719,0.024,0.456,0.343,17
영등포구,0.131,0.672,0.088,0.035,0.232,25
동작구,0.068,0.718,0.009,0.606,0.35,16
관악구,0.195,0.727,0.202,0.057,0.295,23
서초구,0.319,0.719,0.359,0.618,0.504,4
강남구,0.177,0.722,0.08,0.651,0.407,9
송파구,0.2,0.722,0.059,0.619,0.4,10
강동구,0.218,0.69,0.172,0.41,0.372,13
